Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Urvashi Kapoor,27th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-video-claiming-eating-bitter-guard-or-radish-over-ladyfinger-is-harmful-is-fake-as-per-doctors/,Fact Check: Video claiming eating bitter guard or radish over ladyfinger is harmful is fake as per doctors,https://archive.md/HeVAk,FB user: Krishna Pratap Singh,eating bitter guard or radish over ladyfinger is harmful,"bitter gourd, radish, lady finger",vegetable consumers,English 
Urvashi Kapoor,26th Dec 2019,https://www.vishvasnews.com/english/viral/fact-check-video-showing-blue-colored-apple-made-in-china-is-fake/,Fact Check: Video showing blue-colored apple made in China is fake,https://www.instagram.com/p/B6EOQlClEUH/,Instagram user: infozetx,The blue apple in China,Blue apple,China,English 
Urvashi Kapoor,24th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-combiflam-can-kill-you-is-misleading/,Fact Check: Post claiming Combiflam can kill you is fake,https://www.facebook.com/photo.php?fbid=630783567369657&set=a.181662292281789&type=3&theater,FB User: Goney William,कॉम्बिफ्लेम की एक गोली आपकी जान भी ले सकती है,Combiflam side effects,Patients,English 
Pallavi Mishra,23rd Dec 2019,https://www.vishvasnews.com/english/politics/fact-check-video-of-man-throwing-stone-at-a-bus-is-old-and-is-from-surat-no-relation-with-caa-protests/,"Fact Check: Video of man throwing stone at a bus is old and is from Surat, no relation with CAA protests",http://archive.md/wip/RZsoq,Anurag Sharma,"Delhi Police is maligning the esteemed Juman uncle, damaging government property in his disguise”. Another claim is “Juman Chacha giving his invaluable contribution to the progress of the country",CAA protest,CAA NRC Protesters,English 
Urvashi Kapoor,23rd Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-tongue-exercise-cures-alzheimers-and-other-illnesses-is-misleading/,Fact Check: Post claiming tongue exercise cures Alzheimer’s and other illnesses is misleading,NA,FB User: BK Punjab,जीभ की एक्सरसाइज (जीभ बाहर निकालना और इसे 10 मिनट तक दाएं से बाएं घुमाना) आपको अल्जाइमर से बचा सकती है,Alzhiemers ,Patients,English 
Urvashi Kapoor,20th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-giving-birth-cant-be-measured-in-del-pain-is-subjective-fake-post-getting-viral/,"Fact Check: Giving birth can’t be measured in del, pain is subjective, fake post getting viral",NA,Fernand Allequer Lomuntad,A human body can bear only up to 45 DEL (unit) of pain.,Pregnancy,Pregnant women,English 
Urvashi Kapoor,19th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-wild-aubergine-can-cure-any-type-of-cancer-is-fake/,Fact Check: Post claiming wild aubergine can cure any type of cancer is fake,NA,FB User: Gbenga Fasole GSc,wild aubergine can cure any type of cancer,Cancer treatment,Patients,English 
Pallavi Mishra,17th Dec 2019,https://www.vishvasnews.com/english/politics/fact-check-pictures-from-abroad-are-being-shared-as-assam-detention-centers/,Fact Check: Pictures From Abroad Are Being Shared As Assam Detention Centers,http://archive.md/DdAmi,Jamshed Wahab,"If it is acceptable for you to live under such circumstances, then you are bound to remain silent. A picture of Detention Center of Assam",Assam detention centers,NRC CAA,English 
Urvashi Kapoor,14th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-does-the-5-second-rule-really-exist-it-is-a-myth/,"Fact Check: Does the 5-second rule really exist? No, it is a myth",NA,"FB Page: Dave, Ken, and Molly on 92.9 ZZU","5 Second rule confirmed: if we drop this food on the floor, you can eat it",Dropped food,Consumers,English 
Urvashi Kapoor,13th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-the-post-claiming-that-baking-soda-can-cure-cancer-is-fake/,Fact Check: The post claiming that baking soda can cure cancer is fake,NA,"FB Page: From the Heart of me, Another Mother",baking soda can cure cancer,Cancer treatment,Patients,English 
Urvashi Kapoor,13th Dec 2019,https://www.vishvasnews.com/english/health/quick-fact-check-misleading-post-claiming-sprouted-wheat-can-cure-diabetes-resurfaces/,Quick Fact Check: Misleading Post Claiming Sprouted Wheat Can Cure Diabetes Resurfaces,NA,FB User: Anita Kapoor,Sprouted Wheat Can Cure Diabetes ,Sprouts for diabetes treatment,Patients,English 
Urvashi Kapoor,12th Dec 2019,https://www.vishvasnews.com/english/viral/fact-check-post-showing-blue-colored-fruit-named-moon-melon-is-fake-there-is-no-such-fruit/,"Fact Check: Post showing blue-colored fruit named Moon melon is fake, there is no such fruit",NA,FB User: Russell Dean Anderson,Bue-colored fruit named Moon melon in Japan,Blue-colored fruit,Japan,English 
Urvashi Kapoor,10th Dec 2019,https://www.vishvasnews.com/english/viral/fact-check-fake-post-on-hiv-infected-blood-in-pepsi-going-viral/,Fact Check: Fake post on HIV-infected blood in Pepsi getting viral,NA,FB User: Sanghul Del Unice Aisea-Passi,HIV-infected blood in Pepsi,Pepsi,Consumers,English 
Urvashi Kapoor,9th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-a-smoothie-can-cure-diabetes-is-misleading/,Fact Check: Post claiming that a smoothie can cure diabetes is misleading,NA,FB Page: DEMIC,"2 bananas, 5 kiwis, 2 apples with skin, 1 coat of cabbage, and 1/2 liter of water can cure diabetes",Smoothie as diabetes treatment,Patients,English 
Urvashi Kapoor,6th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-burning-camphor-and-inhaling-the-smell-combats-air-pollution-is-misleading/,Fact Check: Post claiming that burning camphor and inhaling the smell combats air pollution is misleading,NA,Twitter User: Sadhavi Khosla,burning camphor and inhaling the smell combats air pollution,Camphor smell for air pollution,Common man,English 
Urvashi Kapoor,4th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-101-year-old-woman-delivered-a-baby-is-fake/,Fact Check: Post claiming 101-year-old woman delivered a baby is fake,NA,FB User: Laxman Gupta,101-year-old woman delivered a baby,Delivery of a child,101-year old woman,English 
Urvashi Kapoor,3rd Dec 2019,https://www.vishvasnews.com/english/health/fact-check-no-this-home-made-mixture-cannot-cure-cancer-in-3-days/,"Fact Check: No, this home-made mixture cannot cure cancer in 3 days",NA,Youtube channel: Health tips for you," last stage cancer can be cured in 72 hours by consuming a home-made mixture made of walnut, sprouted grains, honey, garlic, and lemon",Cancer treatment,Patients,English 
Urvashi Kapoor,25th Nov 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-bee-venom-treatment-heals-infection-is-misleading/,Fact Check: Post claiming that Bee Venom treatment heals infection is misleading,NA,FB Page: Intuitive Apitherapy,Bee Venom treatment heals infection,infection,Patients,English 
Urvashi Kapoor,21st Nov 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-children-recently-vaccinated-with-polio-vaccine-spreads-virus-causing-hfmd-is-fake/,Fact Check: Post claiming children recently vaccinated with polio vaccine spreads virus causing HFMD is fake,NA,Fb User: Martian Newman,children recently vaccinated with polio vaccine spreads virus causing HFMD,Polio vaccine,Children,English 
Bhagwant Singh,21st Nov 2019,https://www.vishvasnews.com/english/viral/fact-check-this-jnu-student-is-23-years-old-not-43/,"Fact Check: This JNU student is 23 years old, not 43",NA,FB User- Vikram Singh,This JNU student is 43 years old,JNU student protest,JNU,English 
Pallavi Mishra,20th Nov 2019,https://www.vishvasnews.com/english/world/fact-check-this-video-of-man-on-fire-is-not-from-kannur-airport-but-from-morocco/,Fact Check: This video of man on fire is not from Kannur Airport but from Morocco,NA,Prajaaparatv,this video is from Kannur Airport and this person caught fire while charging his phone.,Phone defect,Kannur resident's Phone explodes,English 
Pallavi Mishra,19th Nov 2019,https://www.vishvasnews.com/english/politics/fact-check-photo-of-delhis-kotla-mosque-is-being-shared-as-ayodhyas/,Fact Check: Photo of Delhi’s Kotla Mosque is being shared as Ayodhya’s,NA,Muhammad Zia,last namaz at ayodhya mosque,Ayodhya Mosque,Ram Mandir vivad,English 
Urvashi Kapoor,19th Nov 2019,https://www.vishvasnews.com/english/health/fact-check-no-up-police-did-not-issue-any-aids-related-warning-the-viral-post-is-fake/,"Fact Check: No, UP Police did not issue any AIDS-related warning, the viral post is fake",NA,FB User: Sumant Bhattacharya,UP Police issues AIDS-related warning,AIDs related,AIDS spreaders,English 
Pallavi Mishra,18th Nov 2019,https://www.vishvasnews.com/english/world/fact-check-these-are-not-real-birds-this-is-miniature-artwork/,"Fact Check: These are not real birds, this is miniature artwork",NA,Myslf Anish.,Real birds,Smallest birds,miniature birds,English 
Urvashi Kapoor,18th Nov 2019,https://www.vishvasnews.com/english/viral/fact-check-post-claiming-that-an-image-created-by-a-japanese-neurologist-determines-the-state-of-mind-is-fake/,Fact Check: Post claiming that an image created by a Japanese Neurologist determines the state of mind is fake,NA,FB User: Naveen Jain,image created by a Japanese Neurologist determines the state of mind,Brain health,Common man,English 
Urvashi Kapoor,15th Nov 2019,https://www.vishvasnews.com/english/viral/fact-check-viral-posts-on-lata-mangeshkars-death-are-fake/,Fact Check: Viral posts on Lata Mangeshkar’s death are fake,NA,FB User: Kuleshwar Kumar,"The greatest singer of the world, Lata Mangeshkar passes away.",Death of Lata Mangeshkar,Lata Mangeshkar,English 
Urvashi Kapoor,13th Nov 2019,https://www.vishvasnews.com/english/health/fact-check-this-homeopathy-medicine-can-cure-dengue-within-48-hours-is-a-misleading-claim/,Fact Check: This homeopathy medicine can cure dengue within 48 hours is a misleading claim,NA,FB User: Javed Hindustani,"EUPATORIUM PERFOIAM 200 is a homeopathic medicine and if 2, 3 drops of the medicine are diluted and consumed for two days, dengue can be cured",Dengue treatment,Patients,English 
Urvashi Kapoor,8th Nov 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-drinking-cold-water-after-meals-can-cause-cancer-is-fake/,Fact Check: Post claiming that drinking cold water after meals can cause cancer is fake,NA,FB Page: Drugs information center-Pharmacists,drinking cold water after meals can cause cancer,Cancer cause,Common man,English 
Urvashi Kapoor,7th Nov 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-nestle-accepts-adding-juice-of-beef-in-kitkat-is-fake/,Fact Check: Post claiming that Nestle accepts adding juice of beef in KitKat is fake,NA,FB User: Raghu Ram,Nestle accepts adding juice of beef in KitKat,Kitkat contains beef,Kitkat and Nestle,English 
Urvashi Kapoor,7th Nov 2019,https://www.vishvasnews.com/english/health/fact-check-flu-shots-make-people-contagious-is-a-misleading-post/,Fact Check: Flu shots make people contagious is a misleading post,NA,FB User: Jodi Graesser,people who get flu shots should stay at home for a minimum of 2 weeks as they have an active live walking virus,People vaccinated against flu spreading virus,Vaccinated people,English 
Urvashi Kapoor,5th Nov 2019,https://www.vishvasnews.com/english/health/fact-check-no-cream-of-tartar-mixed-with-orange-juice-wont-help-you-quit-smoking/,"Fact Check: No, Cream of Tartar Mixed with Orange Juice Won’t Help You Quit Smoking",NA,FB User: Tim Altmix, the mixture of cream of tartar and orange juice will flush nicotine from your body and will help you quit smoking,How to quit smoking,Smokers,English 
Urvashi Kapoor,4th Nov 2019,https://www.vishvasnews.com/english/health/fact-check-the-post-claiming-that-diabetes-can-be-cured-by-consuming-this-decoction-is-misleading/,Fact Check: The post claiming that diabetes can be cured by consuming this decoction is misleading,NA,சுரேஷ் இசக்கியப்பன் (Suresh),"consuming a decoction made from wheat, barley, gum and black seeds can cure diabetes",Cure for diabetes,Diabetic patients,English 
Bhagwant Singh,31st Oct 2019,https://www.vishvasnews.com/english/politics/fact-check-old-pictures-of-justin-trudeau-visiting-gurudwara-is-going-viral-with-fake-claim/,Fact Check: Old pictures of Justin Trudeau visiting Gurudwara is going viral with fake claim,NA,FB User- Dhan Mata Gujri Ji Trust Jagraon,"After winning 2019 Canada's Elections, Justin Trudeau visited Gurudwara",Canada PM Gurudwara,Justin Trudeau,English 
Urvashi Kapoor,29th Oct 2019,https://www.vishvasnews.com/english/health/fact-check-viral-post-claiming-cancer-is-not-disease-but-fungus-is-misleading/,Fact Check: Viral post claiming Cancer is not disease but fungus is misleading﻿,NA,FB Page-Patriot Jaye Citizens Investigative Journalism,Cancer is not disease but fungus,Cancer isnt a disease,Cancer,English 
Urvashi Kapoor,25th Oct 2019,https://www.vishvasnews.com/english/health/fact-check-no-a-camel-in-an-image-can-not-help-in-diagnosing-alzheimers/,"Fact Check: No, A Camel In An Image Can Not Help In Diagnosing Alzheimer’s",NA,FB User- Roger Taylor,Spotting Camel In An Image Can Help In Diagnosing Alzheimer’s,Diagnosis of Alzhiemers,Alzhiemers patients,English 
Pallavi Mishra,24th Oct 2019,https://www.vishvasnews.com/english/society/fact-check-video-of-fake-tata-salt-manufacturing-is-going-viral-with-wrong-claim/,Fact Check: Video of fake Tata salt manufacturing is going viral with wrong claim,NA,Youtube channel Festivel Record,Look at the Tata salt manufacturing.,Fake Tata Salt , Tata Salt ,English 
Pallavi Mishra,23rd Oct 2019,https://www.vishvasnews.com/english/viral/fact-check-photoshopped-image-of-the-golden-temple-is-going-viral/,Fact Check: Photoshopped image of the Golden Temple is going viral,NA,Architecture & Design,Golden Temple during Diwali,Golden Temple lit,Golden Temple,English 
Urvashi Kapoor,19th Oct 2019,https://www.vishvasnews.com/english/health/fact-check-no-miracle-mineral-solution-cannot-cure-diseases-such-as-autism-or-depression/,"Fact Check: No, Miracle Mineral Solution cannot cure diseases such as autism or depression, this is a fake news﻿",NA,FB User-Jay Legg,"Miracle Mineral Solution can cure diseases such as autism or depression,",Autism and depression cure,Patients,English 
Urvashi Kapoor,18th Oct 2019,https://www.vishvasnews.com/english/health/fact-check-pricking-needles-on-fingertips-or-pulling-ears-of-the-stroke-victim-can-save-his-life-is-a-misleading-post/,Fact Check: Pricking needles on fingertips or pulling ears of the stroke victim can save his life is a misleading post,NA,Fb User- Jeff Garcia,Pricking needles on fingertips or pulling ears of the stroke victim can save his life,Stroke prevention,Patients,English 
Pallavi Mishra,9th Oct 2019,https://www.vishvasnews.com/english/viral/fact-check-dr-paribaha-who-survived-the-deadly-attack-admitted-that-the-reason-for-the-attack-was-not-communal/,"Fact Check: Dr. Paribaha, who survived the deadly attack, admitted that the reason for the attack was not communal",NA,Baliram Jha,An 85-year-old Mohammed Shahid died of a heart attack. The mob lynched a young and talented Hindu doctor Dr. Paribaha Mukherjee in Bengal. But you guys will keep quiet on this mob lynching because the one who dies was a Hindu,Doctor's Mob Lynching in West Bengal,Mob Lynching,English 
Pallavi Mishra,7th Oct 2019,https://www.vishvasnews.com/english/world/fact-check-these-religious-books-were-not-found-in-bihar-gutter-old-picture-from-saudi-arabia-is-getting-viral-with-wrong-context/,Fact Check: These religious books were not found in Bihar gutter; Old picture from Saudi Arabia is getting viral with wrong context,NA,खुज़ली तो होगी ही,These religious books were found in Bihar gutter,Quran found in gutter,Quran,English 
Pallavi Mishra,30th Sep 2019,https://www.vishvasnews.com/english/politics/fact-check-this-man-in-burqa-has-nothing-to-do-with-rss/,Fact Check: This man in burqa has nothing to do with RSS,NA,Shaikh Azeem,This man in burqa is RSS man,RSS man In Burka,RSS ,English 
Pallavi Mishra,30th Sep 2019,https://www.vishvasnews.com/english/viral/fact-check-the-man-these-women-were-beating-was-not-any-mla-he-was-a-union-leader/,"Fact Check: The man these women were beating was not any MLA, he was a union leader",NA,भाई जयकान्त जी,“What a great welcome to the BJP MLA by this woman. This is what every woman should do in today’s era #HowdyModi,BJP MLA beaten,BJP,English 
Pallavi Mishra,30th Sep 2019,https://www.vishvasnews.com/english/viral/fact-check-this-policeman-was-not-beaten-in-surat-video-from-mp-is-going-viral-with-wrong-claim/,"Fact Check: This policeman was not beaten in Surat, video from MP is going viral with wrong claim",NA,Jagdish B,his policeman was beaten in Surat,Policemen beaten in Surat,Policemen,English 
Urvashi Kapoor,26th Sep 2019,https://www.vishvasnews.com/english/health/fact-check-photoshopped-image-of-a-chest-x-ray-going-viral-with-a-bizarre-narrative/,Fact Check: Morphed image of a chest x-ray going viral with a bizarre narrative,NA,FB User-Omar Wally,cockroach in a chest x-ray ,Xray of a person,Patient,English 
Urvashi Kapoor,26th Sep 2019,https://www.vishvasnews.com/english/viral/fact-check-picture-showing-worlds-largest-tulsi-tree-in-karnataka-is-fake/,Fact Check: Picture showing world’s largest Tulsi tree in Karnataka is fake,NA,FB User- Yamuna Mission,world’s largest Tulsi tree in Karnataka,Largest Tulsi Plant,NA,English 
Urvashi Kapoor,24th Sep 2019,https://www.vishvasnews.com/english/politics/fact-check-no-this-illusion-cannot-determine-your-state-of-mind/,"Fact Check: No, this illusion cannot determine your state of mind",NA,FB User-Jigyasa Kathuria,illusion can determine your state of mind,Illusion for mental state,Mental patient,English 
Urvashi Kapoor,23rd Sep 2019,https://www.vishvasnews.com/english/health/fact-check-no-the-new-born-baby-is-not-105-years-old-she-is-suffering-from-a-skin-disease/,"Fact Check: No, the new-born baby is not 105 years old, she is suffering from a skin disease ",NA,FB User-Hakeem Abdul Ghani Ghani,the new-born baby is 105 years old,Age of new born baby,New born,English 
Urvashi Kapoor,23rd Sep 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-sprouted-wheat-can-cure-diabetes-and-prevent-heart-attack-is-misleading/,Fact Check: Post claiming sprouted wheat can cure diabetes and prevent heart attack is misleading,NA,FB User-घरेलु नुस्के,"if sprouted wheat is consumed for 2 days empty stomach in morning, diabetes can be cured completely",Diabetes cure,Diabetic patients,English 
Bhagwant Singh,17th Sep 2019,https://www.vishvasnews.com/english/politics/fact-check-no-arvind-kejriwal-did-not-hold-the-bottle-of-liquor-viral-picture-is-photoshopped/,"Fact Check: No, Arvind Kejriwal did not hold the bottle of liquor, viral picture is Photoshopped",NA,FB User-Paa Tii Topi ਪਾ ਤੀ ਟੋਪੀ,ਸਵੇਰੇ ਕੋੜੀ ਦਵਾਈ ਪੀਕੇ ਪੇਟ ਦੇ ਮੱਛਰ ਮਾਰਦੇ ਸਾਡੇ ਦਿੱਲੀ ਦੇ ਮਾਲਕ ਸ਼੍ਰੀ ਘੁੰਘਰ ਸੇਠ,Kejriwal with liquor bottle,Arvind Kejriwal ,English 
Urvashi Kapoor,14th Sep 2019,https://www.vishvasnews.com/english/health/fact-check-sucking-cancer-by-mouth-false-claims-by-a-baba-going-viral/,Fact Check: Sucking cancer by mouth? False claims by a baba going viral,NA,FB Page: Ghaint Video,baba claims to be the ichchhadhari naag who cures cancer and other diseases by sucking it from the mouth of the patient,Cancer treatment,Cancer patients,English 
Urvashi Kapoor,13th Sep 2019,https://www.vishvasnews.com/english/world/fact-check-old-video-of-halo-effect-viral-as-full-rainbow-spotted-in-gujarat/,Fact Check: Old video of Halo effect viral as full rainbow spotted in Gujarat,NA,FB user: Simran Chhabra,circle visible around the sun is a full rainbow visible once in 100-250 year,Full rainbow,Halo effect,English 
Urvashi Kapoor,10th Sep 2019,https://www.vishvasnews.com/english/health/fact-check-ginger-is-10000-times-more-effective-than-chemotherapy-is-a-misleading-claim/,"Fact Check: Ginger is 10,000 times more effective than chemotherapy is a misleading claim",NA,FB User: Ugwu Chukwudi Richie,"Ginger is 10,000 times more effective than chemotherapy",Cancer treatment,Cancer patients,English 
Urvashi Kapoor,6th Sep 2019,https://www.vishvasnews.com/english/health/fact-check-pepaero-cures-dengue-in-48-hours-is-a-misleading-claim/,Fact Check: Pepaero cures dengue in 48 hours is a misleading claim,NA,FB User: Rajdeep Saha,a medicine named Pepaero cures dengue in 48 hours,Dengue treatment,Dengue patients,English 
Urvashi Kapoor,5th Sep 2019,https://www.vishvasnews.com/english/health/fact-check-okra-soaked-water-cannot-cure-diabetes/,Fact Check: Okra-soaked water cannot cure diabetes,NA,Social media User,Okra-soaked water cures diabetes,Diabetes treatment,Diabetic patients,English 
Pallavi Mishra,4th Sep 2019,https://www.vishvasnews.com/english/politics/fact-check-kejriwal-did-not-wear-bomb-disposal-suit-old-morphed-picture-is-going-viral/,"Fact Check: Kejriwal Did Not Wear Bomb Disposal Suit, Old Morphed Picture Is Going Viral",NA,FB page यूपी मुख्यमंत्री रिपोर्ट कार्ड,Chief Minister of Delhi Arvind Kejriwal can be seen wearing a bomb disposal suit,Kejariwar in Bomb disposal suit,Bomb disposal suit,English 
Urvashi Kapoor,4th Sep 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-noodles-being-surgically-removed-from-intestines-is-fake/,Fact Check: Post claiming noodles being surgically removed from intestines is fake,NA,FB User: Vnita Vnita Punjab,noodles being surgically removed from intestines,Noodles in intestines,Patient,English 
Urvashi Kapoor,4th Sep 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-slaked-lime-cures-70-diseases-is-misleading/,Fact Check: Post claiming slaked lime cures 70 diseases is misleading,NA,FB Page: Sanskar TV,slaked lime cures 70 diseases,Slaked lime,Patients,English 
Urvashi Kapoor,2nd Sep 2019,https://www.vishvasnews.com/english/health/fact-check-viral-post-regarding-contraceptive-pills-is-misleading/,Fact Check: Viral post regarding contraceptive pills is misleading,NA,FB Page: Girl's Safety,I-Pill and Unwanted 72 contain arsenic,Ipill and unwanted 72,Contraceptive user,English 
Pallavi Mishra,27th Aug 2019,https://www.vishvasnews.com/english/viral/fact-check-vrindavan-iskcon-temple-has-not-flooded-viral-video-is-of-2015-kolkata/,Fact Check: Vrindavan ISKCON temple has not flooded; viral video is of 2015 Kolkata,NA,SA Hindus,"Due to heavy Rains in Vrindavan, Mathura, the ISKCON Mandir was flooded! Lord Krishna Devotees continue to do Keertan ",Vrindavan ISKCON temple flooded, ISKCON temple,English 
Pallavi Mishra,27th Aug 2019,https://www.vishvasnews.com/english/politics/fact-check-photoshopped-image-of-prime-minister-modi-is-going-viral/,Fact Check: Photoshopped image of Prime Minister Modi is going viral,NA,AIMIM Bharuch Gujarat,Muslim skullcaps are forbidden in India but not in the UAE,PM Modi in islamic attire,PM Modi,English 
Urvashi Kapoor,24th Aug 2019,https://www.vishvasnews.com/english/health/fact-check-no-a-drowned-person-cannot-revive-if-covered-in-salt/,"Fact Check: No, a drowned person cannot revive if covered in salt",NA,FB Page: Panchtatva.org,a drowned person can revive if covered in salt,drowned person revival,drowned person,English 
Pallavi Mishra,20th Aug 2019,https://www.vishvasnews.com/english/viral/fact-check-post-claiming-putin-addressed-russian-parliament-in-saffron-clothes-is-fake/,Fact Check: Post claiming Putin addressed Russian Parliament in Saffron clothes is fake,NA,Atul Panday,"Putin, President of Russia, won the hearts of all Hindus by giving a speech in saffron cloths in Moscow Parliament today",Putin in Indian attire,Putin,English 
Pallavi Mishra,13th Aug 2019,https://www.vishvasnews.com/english/viral/fact-check-this-woman-is-infosys-foundation-chairman-sudha-murthy-not-parle-ji-girl/,"Fact Check: This Woman Is Infosys Foundation Chairman Sudha Murthy, Not Parle Ji Girl",NA,Fb Page We Fuse,"Remember Parle-G biscuit girl, Neru Deshpande, now 64 years old, is the girl who was clicked for Parle-G biscuit when she was 4 years old.",Parle G girl is now old,Parle G girl,English 
Bhagwant Singh,13th Aug 2019,https://www.vishvasnews.com/english/viral/fact-check-woman-appearing-in-the-video-is-a-fake-asi-from-gurdaspur/,Fact Check: Woman appearing in the video is a fake ASI from Gurdaspur,NA,FB Page: Punjabi paris to ਪੰਜਾਬੀ ਪੈਰਿਸ ਤੋਂ,Gurdaspur lady ASI arrested, Lady ASI arrested,Gurdaspur ASI,English 
Pallavi Mishra,12th Aug 2019,https://www.vishvasnews.com/english/viral/fact-check-old-video-of-dawoodi-bohra-community-procession-is-going-viral-with-wrong-claim/,Fact Check: Old Video Of Dawoodi Bohra Community Procession Is Going Viral With Wrong Claim,NA,Janki Prasad,Secular religion that once opposed BHARAT MATA KI JAY n. Now chanting VANDE MATARAM with Indian flag. Effect of abolition of Article 370 and 35A. #KashmirHamaraHai #KashmirMeinTiranga,Muslim community chanting Vande Mataram,Muslim Community,English 
Bhagwant Singh,12th Aug 2019,https://www.vishvasnews.com/english/politics/fact-check-no-pm-modi-was-not-touching-saudi-kings-feet/,"Fact Check: No, PM Modi Was Not Touching Saudi King’s Feet, Viral Picture Is Photoshopped",NA,FB User-Sardar Ji Singh, PM Modi is touching Saudi King's feet,Saudi king image,Narendra Modi,English 
Urvashi Kapoor,7th Aug 2019,https://www.vishvasnews.com/english/health/fact-check-no-this-exercise-cannot-cure-heart-blockage-in-7-days/,"Fact Check: No, this exercise cannot cure heart blockage and back pain in 7 days",NA,FB User: Ben David,this exercise can cure heart blockage and back pain in 7 days,Heart blockache and backache cure,Patients,English 
Pallavi Mishra,7th Aug 2019,https://www.vishvasnews.com/english/viral/fact-check-this-buddhist-monks-is-114-years-old-not-144-years-old/,"Fact Check: This Buddhist Monk Is 114 Years Old, Not 144 Years Old",NA,Sitare Channel,144 years old Buddhist monk,144 year old Monk,Buddhist Monk,English 
Pallavi Mishra,7th Aug 2019,https://www.vishvasnews.com/english/viral/fact-check-this-woman-is-old-and-mentally-ill-not-a-child-kidnapper/,"FACT CHECK: This woman is old and mentally ill, not a child kidnapper",NA,Aapno Raisinghnagar,"Rajasthan बच्चा चोर गिरोह दाखिल। सक्रिय रहें, सावधान रहें व् अपने बच्चों का ख्याल रखें",Child lifting gang active in Rajasthan,Child lifting gang,English 
Urvashi Kapoor,2nd Aug 2019,https://www.vishvasnews.com/english/health/fact-check-no-knuckle-cracking-does-not-cause-arthritis/,"Fact Check: No, Knuckle Cracking Does Not Cause Arthritis",NA,Whatsapp user,Knuckle Cracking Causes Arthritis,effects of knuckle cracking on joint health,Human being,English 
Pallavi Mishra,1st Aug 2019,https://www.vishvasnews.com/english/viral/fact-check-shahrukh-khan-did-not-wear-owasis-partys-t-shirt/,Fact Check: Shahrukh Khan did not wear Owasi’s party’s T shirt,NA,Nitin Jadhav,Shahrukh Khan wears Owasi’s party’s T shirt,Shah Rukh Khan supports Owaisi,Shah Rukh Khan,English 
Pallavi Mishra,31st Jul 2019,https://www.vishvasnews.com/english/world/fact-check-telanganas-shivalinga-is-being-shared-as-sri-lankas/,FACT CHECK: Telangana’s Shivalinga is being shared as Sri Lanka’s,NA,"Facebook Page चाणक्य, सुविचार और सुखी जीवन",श्रीलंका के Jaffna शहर में 108 फिट का दुनिया का सबसे बड़ा शिवलिंग बनके तैयार.,Largest Shivling,Shivling,English 
Urvashi Kapoor,31st Jul 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-caripill-cures-dengue-in-48-hours-is-misleading/,Fact Check: Post claiming Caripill cures dengue in 48 hours is misleading,NA,FB Page: Nilima's Nutrition & Diet Clinic,Caripill cures dengue in 48 hours,Dengue treatment,Patients,English 
Urvashi Kapoor,29th Jul 2019,https://www.vishvasnews.com/english/viral/fact-check-no-gujarat-police-did-not-seize-weapons-from-a-mosque/,"Fact Check: No, Gujarat police did not seize weapons from a mosque",NA,FB User: Dilip Singh,Gujarat police seized weapons from a mosque,Gujarat police,Gujarat mosque,English 
Urvashi Kapoor,29th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-no-paracetamol-does-not-remain-in-the-body-for-5-years/,"Fact Check: No, Paracetamol does not remain in the body for 5 years",NA,FB User: Shaukat Amin Shah,Paracetamol remains in the body for 5 years,Paracetamol,Paracetamol consumers,English 
Bhagwant Singh,29th Jul 2019,https://www.vishvasnews.com/english/viral/fact-check-no-child-did-not-die-due-to-floods-in-bihar/,"Fact Check: No, Child didn’t die due to floods in Bihar",NA,FB User- Amit Kumar,Child died due to floods in Bihar,Flood Video,Bihar,English 
Urvashi Kapoor,26th Jul 2019,https://www.vishvasnews.com/english/health/fact-check-no-mr-vaccine-does-not-cause-infertility-the-viral-post-is-fake/,"Fact Check: No, MR Vaccine does not cause infertility, the viral post is fake",NA,Social media user,MR Vaccine causes infertility,MR Vaccine,vaccine recipient,English 
