Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Pragya Shukla,23rd Jan 2023,https://www.vishvasnews.com/english/viral/fact-check-3d-animation-video-is-of-iskcons-temple-of-vedic-planetarium-has-no-connection-with-nasa/,"Fact Check: 3D Animation video is of ISKCON’s temple of Vedic planetarium, has no connection with NASA",https://perma.cc/ZA47-VV9A,Vicky Gupta,NASA has studie veda and made an animation film on this,NASA ISKCON temple,ISKCON temple,English 
Pragya Shukla,17th Jan 2023,https://www.vishvasnews.com/english/politics/fact-check-asaduddin-owaisi-did-not-sing-bhajans-viral-videos-edited/,"Fact Check: Asaduddin Owaisi did not sing bhajans, viral videos edited",https://www.facebook.com/journalist.verma.3/videos/5828745057204179,Fb user: Shailendra Verma,Asaduddin Owaisi sing bhajans,Owaisi is singing bhajan.,Asaduddin Owaisi,English 
Devika Mehta,13th Jan 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-but-bogus-advice-attributed-to-pilhibit-doctor-on-social-media-full-of-misleading-claims/,"Fact Check: Viral but bogus advice attributed to Pilhibit doctor on social media, full of misleading claims",https://www.facebook.com/dharamvirsinghrajput.rajput/posts/pfbid02Jjd3ScPFKL1wX8Wn43EoD5H52iSQsg3hjbhJ2MqAWx14UJD93Z3VL11eqbym3c82l,Fb user: Dharamvirsingh Singh Rajput,Suddenly waking up from bed at night can lead to heart failure,Heart attack,NA,English 
Pragya Shukla,12th Jan 2023,https://www.vishvasnews.com/english/world/fact-check-donald-trumps-son-not-appointed-as-twitter-ceo-viral-claim-is-fake/,"Fact Check: Donald Trump’s son not appointed as Twitter CEO, viral claim is fake",https://www.facebook.com/permalink.php?story_fbid=pfbid0ULp57NfMcXKBtBZvT7obHXgFrPLERJhQB7TJB43oUVCAEAUYZvTDDze2hmAMWwe1l&id=100002217153291,Fb user: ST Mann,Donald Trump’s son appointed as Twitter CEO,Twitter CEO,Donald Trump’s son,English 
Pragya Shukla,11th Jan 2023,https://www.vishvasnews.com/english/politics/fact-check-viral-photo-of-rahul-gandhi-altered-chicken-and-alcohol-added-to-it/,"Fact Check: Viral photo of Rahul Gandhi altered, chicken and alcohol added to it",https://www.facebook.com/photo?fbid=1243798769906278&set=a.130191287933704,Fb user: Mukesh Kumar,Rahul Gandhi drinking alcohol and eating meat.,rahul gandhichicken and alcohol,rahul gandhi,English 
Sharad Prakash Asthana,10th Jan 2023,https://www.vishvasnews.com/english/viral/fact-check-virat-rohit-and-dhoni-didnt-meet-rishabh-pant-in-dehradun-hospital-viral-claims-are-fake/,"Fact Check: Virat, Rohit and Dhoni didn’t meet Rishabh Pant in Dehradun hospital; viral claims are fake",https://perma.cc/KR5F-V3E5,Fb user: R News,Virat Kohli reaches Dehradun hospital to meet injured Rishabh Pant,Rishabh Pant Accident,"Virat Kohli, Rohit Sharma, Mahendra Singh Dhoni",English 
Devika Mehta,3rd Jan 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-claim-of-hanging-tree-is-misleading-formation-is-the-result-of-prop-root-phenomenon/,Fact Check: Viral claim of hanging tree is misleading; formation is the result of ‘prop root’ phenomenon,https://www.facebook.com/narendracrown.patel/posts/pfbid02XBiLTMjfwm8yqHkeyMeENvZY4MJC8dte57ZPmH6YNLw6WAyLXPW6e6zbewLgXjWYl,Fb user: Narendracrown Patel,"The floating tree at Samadha temple, Hansi is miraculous",hanging tree,NA,English 
Sharad Prakash Asthana,18th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-agniveer-amritpal-singh-did-not-get-military-honor-due-to-suicide/,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,https://twitter.com/SatyapalmalikG/status/1713113470059807076,"X User Satyapal Malik,","The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour.",Agniveer Scheme,Amritpal Singh,English 
Sharad Prakash Asthana,28th Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-kareena-kapoor-khan-not-on-x-viral-post-on-cricket-shared-by-fan-page/,"Fact Check: Kareena Kapoor Khan Not On X, Viral Post On Cricket Shared By Fan Page",https://www.facebook.com/permalink.php?story_fbid=pfbid0srt3AAC2X1b5LogJpuJB4CPbokrHCeYBvVMB4MSrDEzuy9zEXo2er4KRdZf39pwEl&id=100091983862956,Fb user: Fardin Khan,"Kareena Kapoor Khan posts about Shami, Siraj and Wicket Jihad on X",Indian Cricket Jihad,Kareen Kapoor Khan,English 
Sharad Prakash Asthana,13th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-couple-at-concert-escaped-safely-after-hamas-attack-on-israel-viral-claim-misleading/,"Fact Check: Couple At Concert Escaped Safely After Hamas Attack On Israel, Viral Claim Misleading",https://www.facebook.com/permalink.php?story_fbid=pfbid02fsmW1qPt16LVLonMYikyodMpVq3rnq8GE4xKtTyRZyNBxGMLGMZiYLVHqR2RyArVl&id=100084244321671,Facebook User,The viral picture is of the couple Amit and Neer attending the music festival. Both died in the attack on Israel.,Israel Survivors,Amit Bar,English 
Sharad Prakash Asthana,11th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-sunil-gavaskar-did-not-criticise-bcci-over-poor-management-of-cricket-world-cup-2023/,Fact Check: Sunil Gavaskar Did Not Criticise BCCI Over Poor Management Of Cricket World Cup 2023,https://www.facebook.com/pawan.dixit.7927/posts/pfbid02URLEj6fkHVNuwFRLebABi3fBz9Vox6VvnpLrxiir841wh9VR9rz5M5GfQoNBCdttl,"Facebook user 'Pawan Dixit' (Archive) shared the screenshot on October 7 and wrote, “There is a substance in words, but those without a spine will not be able to speak!",Former Indian cricketer Sunil Gavaskar has criticized BCCI regarding Cricket World Cup 2023.,Indian Commnetator,Sunil Gavaskar,English 
