Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language,Image
12th Sep 2023,https://www.vishvasnews.com/politics/fact-check-g20-summit-in-delhi-false-claim-viral-netherlands-pm-mark-rutte-cleaning-coffee-from-floor/,"Fact Check : फर्श से कॉफी साफ करते नीदरलैंड के पीएम का जी 20 से कोई संबंध नहीं, वायरल दावा गलत",https://www.facebook.com/100004834810048/posts/2350984298441790/,फेसबुक यूजर ‘योगेंद्र सिंह’,दिल्ली जी 20 सम्मेलन में नीदरलैंड के पीएम के हाथ से कॉफी गिर गई। उन्होंने खुद उस कॉफी को साफ किया।,Netherlands Prime Minister Mark Rutte spilling a drink and then mopping the floor,netherlands pm,Hindi,
16th Jun 2023,https://www.vishvasnews.com/politics/fact-check-google-map-location-of-balasore-station-in-odisha-is-being-shared-with-false-claim-of-only-hindu-organisations-helped-train-accident-victims/,"Fact Check: इस्लामी व ईसाई संगठनों ने भी की थी ट्रेन हादसे के पीड़ितों की मदद, सिर्फ हिंदू संगठनों के मदद करने का दावा भ्रामक",https://www.facebook.com/permalink.php?story_fbid=pfbid028en7biTLviRTnCGynQfSWM2sCMtyPyDG9buZeB4yyDt9H2DY8MAAxjzdhYRzEaMMl&id=100014744557134,FB User-नीरज मोघा भगवा,ओडिशा रेल हादसे के पास के स्टेशन के समीप बड़ी संख्या में मस्जिदों की मौजूदगी के बावजूद मदद को नहीं पहुंचे मुस्लिम।,No,Odisha Train Accident,Hindi,
14th Feb 2021,https://www.vishvasnews.com/politics/fact-check-imaginary-story-after-sachin-tendulkars-name-is-getting-viral-on-social-media/,Fact Check:  सचिन तेंदुलकर के नाम से वायरल हो रही यह कहानी मनगढंत है,https://www.facebook.com/rituraj.sureshjain/posts/2838208093120446,Suresh Jain Rituraj,"मैंने जिस दिन चिकन शॉप में मुर्गे को सामने कटते देखा, मेरी अंतरात्मा कांप गई. मैं उस रात सो नही सका. मेरी आँखों के सामने रात भर मेरे बच्चो का चेहरा घूम रहा था. वो जीव भी तो किसी का बच्चा था. मेरे स्वाद के लिए उसे कितनी भयंकर पीड़ा से गुजरना पड़ा. मैंने उसी दिन आजीवन शाकाहारी बनने का संकल्प ले लिया: सचिन रमेश तेंदुलकर।",vegetarianism,Sachin Tendulkars,Hindi,
1st Jun 2023,https://www.vishvasnews.com/politics/fact-check-in-the-name-of-drying-the-pitch-of-the-stadium-in-ahmedabad-the-old-picture-of-hair-dryer-and-iron-went-viral/,Fact Check : अहमदाबाद के स्‍टेडियम की पिच सुखाने के नाम पर हेयर ड्रायर और आयरन की पुरानी तस्‍वीर वायरल,https://www.facebook.com/navneetyadav.navneetyadav.1/posts/pfbid02ar6qumB3TA7kLtkijY3u2DLTHRBYd9uj6wvwdbEus6VRd4eBx287efyDMjMXWSYml,फेसबुक यूजर नवनीत यादव,"नरेंद्र मोदी स्‍टेडियम में हेयर ड्रायर, आयरन और स्‍पंज से सुखाई गई पिच",Against Modi Govertment,Narendra Modi,Hindi,
11th Oct 2023,https://www.vishvasnews.com/politics/fact-check-jashodaben-has-not-joined-congress-viral-graphic-is-edited/,"Fact Check : जशोदाबेन के कांग्रेस में शामिल होने का दावा गलत, वायरल ग्राफिक एडिटेड",https://www.facebook.com/photo/?fbid=361638642873201&set=a.209973081373092,फेसबुक यूजर अंधभक्त धुलाई सेंटर 4.0,जशोदाबेन हुई के कांग्रेस में शामिल।,PM Modi wife joins congress,PM Modi,Hindi,
14th Jan 2023,https://www.vishvasnews.com/politics/fact-check-jp-nadda-did-not-give-this-statement-about-bjp-viral-video-is-being-edited-and-shared/,"Fact Check  : जेपी नड्डा ने बीजेपी को लेकर नहीं दिया ये बयान, वायरल वीडियो को एडिट कर किया जा रहा शेयर",https://www.facebook.com/sainisndp/videos/3318036131786028,भारत जोड़ो विद राहुल गांधी,जेपी नड्डा ने महिलाओं के साथ होने वाले दुष्कर्म के लिए बीजेपी सरकार को जिम्मेदार ठहराया है।,BJP,JP Nadda,Hindi,
23rd May 2023,https://www.vishvasnews.com/politics/fact-check-jyotiraditya-scindia-does-not-change-his-twitter-bio/,"Fact Check: ज्योतिरादित्य सिंधिया के ट्विटर बायो में करीब दो साल से नहीं हुआ कोई बदलाव, गलत दावा वायरल",https://www.facebook.com/pankaj.rai.3152/posts/pfbid0he24of1H7gvpam8pkQPfZccYyXf7xQ8QRAcvhpGe257hyNEgx2rctCjqeyHL6u9hl,FB User- Pankaj Rai,केंद्रीय मंत्री ज्योतिरादित्य सिंधिया ने अपने ट्विटर बायो से भाजपा का नाम हटा दिया है।,Union Minister of Civil Aviation and Steel,jyotiraditya scindia,Hindi,
23rd May 2023,https://www.vishvasnews.com/politics/fact-check-jyotiraditya-scindia-does-not-change-his-twitter-bio/,"Fact Check: ज्योतिरादित्य सिंधिया के ट्विटर बायो में करीब दो साल से नहीं हुआ कोई बदलाव, गलत दावा वायरल",https://www.facebook.com/pankaj.rai.3152/posts/pfbid0he24of1H7gvpam8pkQPfZccYyXf7xQ8QRAcvhpGe257hyNEgx2rctCjqeyHL6u9hl,FB User- Pankaj Rai,केंद्रीय मंत्री ज्योतिरादित्य सिंधिया ने अपने ट्विटर बायो से भाजपा का नाम हटा दिया है।,jyotiraditya scindia,jyotiraditya scindia,Hindi,
4th May 2023,https://www.vishvasnews.com/politics/fact-check-jyotiraditya-scindias-6-year-old-video-is-being-shared-by-linking-it-to-karnataka-elections/,Fact Check : ज्योतिरादित्य सिंधिया के 6 साल पुराने वीडियो को कर्नाटक चुनाव से जोड़कर किया जा रहा शेयर,https://www.facebook.com/vickram.swami/videos/1237094490513025,फेसबुक यूजर विक्रम स्वामी,भाजपा नेता ज्योतिरादित्य सिंधिया ने बजरंग दल के खिलाफ कर्नाटक चुनाव में बोला।,Karnataka Elections,Jyotiraditya scindia,Hindi,
4th May 2023,https://www.vishvasnews.com/politics/fact-check-jyotiraditya-scindias-6-year-old-video-is-being-shared-by-linking-it-to-karnataka-elections/,Fact Check : ज्योतिरादित्य सिंधिया के 6 साल पुराने वीडियो को कर्नाटक चुनाव से जोड़कर किया जा रहा शेयर,https://www.facebook.com/vickram.swami/videos/1237094490513025,फेसबुक यूजर विक्रम स्वामी,भाजपा नेता ज्योतिरादित्य सिंधिया ने बजरंग दल के खिलाफ कर्नाटक चुनाव में बोला।,Karnataka Elections,Jyotiraditya scindia,Hindi,
27th May 2023,https://www.vishvasnews.com/politics/fact-check-karnataka-electricity-company-employee-beaten-by-man-in-koppal-viral-video-news/,Fact Check: कर्नाटक में बिजली कंपनी के कर्मचारी को थप्‍पड़ मारने का वीडियो भ्रामक दावे से वायरल,https://www.facebook.com/100080741583391/videos/1287703255174067/,FB User- 'महेंद्र मुकाती,कर्नाटक में कांग्रेस सरकार बनने के बाद जब बिजली कर्मचारी मीटर रीडिंग लेने एक शख्‍स के घर पर गया तो उसने सरकार की फ्री बिजली गांरटी की बात कहकर बिल देने से मना कर दिया।,Karnataka Congress,Chandrashekhar Hiremat,Hindi,
27th May 2023,https://www.vishvasnews.com/politics/fact-check-karnataka-electricity-company-employee-beaten-by-man-in-koppal-viral-video-news/,Fact Check: कर्नाटक में बिजली कंपनी के कर्मचारी को थप्‍पड़ मारने का वीडियो भ्रामक दावे से वायरल,https://www.facebook.com/100080741583391/videos/1287703255174067/,FB User- 'महेंद्र मुकाती,कर्नाटक में कांग्रेस सरकार बनने के बाद जब बिजली कर्मचारी मीटर रीडिंग लेने एक शख्‍स के घर पर गया तो उसने सरकार की फ्री बिजली गांरटी की बात कहकर बिल देने से मना कर दिया।,Karnataka Congress,NA,Hindi,
1st Jun 2023,https://www.vishvasnews.com/politics/fact-check-kejriwal-did-not-announce-his-resignation-tweet-of-parody-account-in-the-name-of-aap-went-viral/,"Fact Check : केजरीवाल ने नहीं किया इस्तीफे का एलान, AAP के नाम पर बने पैरोडी अकाउंट का ट्वीट हुआ वायरल",https://www.facebook.com/photo/?fbid=7009390765754271&set=a.763118560381554,फेसबुक यूजर विवेक वर्मा,पहलवानों के समर्थन में केजरीवाल देंगे CM पद से इस्तीफा।,wrestlers protest,Arvind Kejriwal,Hindi,
11th May 2023,https://www.vishvasnews.com/politics/fact-check-kejriwal-did-not-appeal-to-vote-for-congress-in-jalandhar-bypoll-viral-video-edited/,"Fact Check : जालंधर उपचुनाव में केजरीवाल ने कांग्रेस को वोट देने की नहीं की अपील, वायरल वीडियो एडिटेड",https://twitter.com/ShowKumar4/status/1655902160952098816,ट्विटर यूजर शिवम कुमार,दिल्ली के मुख्यमंत्री अरविंद केजरीवाल ने कांग्रेस को वोट देने की अपील की।,Punjab Elections,Arvind kejriwal,Hindi,
11th May 2023,https://www.vishvasnews.com/politics/fact-check-kejriwal-did-not-appeal-to-vote-for-congress-in-jalandhar-bypoll-viral-video-edited/,"Fact Check : जालंधर उपचुनाव में केजरीवाल ने कांग्रेस को वोट देने की नहीं की अपील, वायरल वीडियो एडिटेड",https://twitter.com/ShowKumar4/status/1655902160952098816,ट्विटर यूजर शिवम कुमार,दिल्ली के मुख्यमंत्री अरविंद केजरीवाल ने कांग्रेस को वोट देने की अपील की।,Punjab Elections,Arvind kejriwal,Hindi,
27th Nov 2023,https://www.vishvasnews.com/politics/fact-check-kushinagar-airport-inauguration-linked-to-ram-temple/,Fact Check: कुशीनगर हवाई अड्डे के उद्घाटन के वीडियो को राम मंदिर से जोड़कर किया जा रहा शेयर,https://www.facebook.com/100091595005042/posts/1115305656548578/,फेसबुक यूजर ‘किशन लाल गायरी फलव’,श्रीलंका सरकार ने अशोक वाटिका से शिला भेजी।,Sri Lankan government sent the stone from Ashok Vatika..CM Yogi arrived to collect it,CM Yogi,Hindi,
18th Aug 2023,https://www.vishvasnews.com/politics/fact-check-ladli-behna-yojana-2023-is-started-by-madhya-pradesh-not-by-central-government/,"Fact Check: केंद्र सरकार ने नहीं, मध्‍य प्रदेश सरकार ने शुरू की है लाड़ली बहना योजना, वायरल दावा भ्रामक",https://www.facebook.com/TnfToday/videos/987542448957718,FB User- Tnf Today,"भाजपा सरकार ने लाड़ली बहना योजना की शुरुआत की है, जिसके तहत हर महिला को प्रत्‍येक माह 3 हजार रुपये मिलेंगे।",Ladli Behna Yojana,Narendra Modi,Hindi,
18th Aug 2023,https://www.vishvasnews.com/politics/fact-check-ladli-behna-yojana-2023-is-started-by-madhya-pradesh-not-by-central-government/,"Fact Check: केंद्र सरकार ने नहीं, मध्‍य प्रदेश सरकार ने शुरू की है लाड़ली बहना योजना, वायरल दावा भ्रामक",https://www.facebook.com/TnfToday/videos/987542448957718,FB User- Tnf Today,"भाजपा सरकार ने लाड़ली बहना योजना की शुरुआत की है, जिसके तहत हर महिला को प्रत्‍येक माह 3 हजार रुपये मिलेंगे।",Ladli Behna Yojna,NA,Hindi,
18th Jul 2023,https://www.vishvasnews.com/politics/fact-check-madhya-pradesh-rajasthan-assembly-election-2023-fake-date-viral/,"Fact Check: एमपी, राजस्‍थान और छत्तीसगढ़ समेत पांच राज्‍यों में विधानसभा चुनाव की तारीखों का अभी नहीं हुआ एलान",https://www.facebook.com/pardeep.sinhmar.332/posts/pfbid02c1WcwrnRzH19Dgx8Z4nMfxQN2wGga6AUX8qWG7r1vAfU31F39DC2C6hFehe45thGl,FB User- समीर मोर,"मिजोरम, छत्तीसगढ़, मध्‍य प्रदेश, राजस्‍थान और तेलंगाना में विधानसभा चुनाव का एलान हो गया है।",Assembly Election 2023,-------------,Hindi,
18th Jul 2023,https://www.vishvasnews.com/politics/fact-check-madhya-pradesh-rajasthan-assembly-election-2023-fake-date-viral/,"Fact Check: एमपी, राजस्‍थान और छत्तीसगढ़ समेत पांच राज्‍यों में विधानसभा चुनाव की तारीखों का अभी नहीं हुआ एलान",https://www.facebook.com/pardeep.sinhmar.332/posts/pfbid02c1WcwrnRzH19Dgx8Z4nMfxQN2wGga6AUX8qWG7r1vAfU31F39DC2C6hFehe45thGl,FB User- समीर मोर,"मिजोरम, छत्तीसगढ़, मध्‍य प्रदेश, राजस्‍थान और तेलंगाना में विधानसभा चुनाव का एलान हो गया है।",Assembly Election 2023,NA,Hindi,
23rd May 2023,https://www.vishvasnews.com/politics/fact-check-mallikarjun-kharge-siddaramaiah-and-dk-shivakumar-edited-image-viral/,"Fact Check : कांग्रेस अध्‍यक्ष मल्लिकार्जुन खरगे , सिद्धारमैया और डीके शिवकुमार की एडिटेड तस्‍वीर हो रही शेयर",https://checkmedia.org/vishvas-news/media/1943749?listIndex=149\',Whatsapp Tipline,"मल्लिकार्जुन खरगे, सिद्धारमैया और डीके शिवकुमार के बैकग्राउंड में दीवार पर जवाहर लाल नेहरू और एडविना माउंटबेटन की तस्‍वीर लगी है।",Congress Leader Image,"Mallikarjun Kharge, siddaramaiah, dk shivakumar",Hindi,
23rd May 2023,https://www.vishvasnews.com/politics/fact-check-mallikarjun-kharge-siddaramaiah-and-dk-shivakumar-edited-image-viral/,"Fact Check : कांग्रेस अध्‍यक्ष मल्लिकार्जुन खरगे , सिद्धारमैया और डीके शिवकुमार की एडिटेड तस्‍वीर हो रही शेयर",https://checkmedia.org/vishvas-news/media/1943749?listIndex=149\',Whatsapp Tipline,"मल्लिकार्जुन खरगे, सिद्धारमैया और डीके शिवकुमार के बैकग्राउंड में दीवार पर जवाहर लाल नेहरू और एडविना माउंटबेटन की तस्‍वीर लगी है।","Mallikarjun Kharge, siddaramaiah, dk shivakumar","Mallikarjun Kharge, siddaramaiah, dk shivakumar",Hindi,
21st Oct 2023,https://www.vishvasnews.com/politics/fact-check-mamata-banerjee-in-behala-nutan-dal-navratri-durga-puja-pandal-kolkata-image-is-from-2020/,"Fact Check: मां दुर्गा की मूर्ति के सामने खड़ीं ममता बनर्जी की तस्वीर तीन साल पुरानी है, वायरल दावा भ्रामक",https://www.facebook.com/permalink.php?story_fbid=pfbid022nLMRLS336CHimktuZ31F6PeRTzxXqBpvMB5jL9kYVgDj2K8KoniKvKqXvLndgTel&id=100089618830343,FB User- Ram Babu Singh Sanvanshi,बंगाल में ममता बनर्जी ने दुर्गा मां के हाथ से हथियार हटवा दिए हैं।,West Bengal CM,Mamata banerjee,Hindi,
21st Oct 2023,https://www.vishvasnews.com/politics/fact-check-mamata-banerjee-in-behala-nutan-dal-navratri-durga-puja-pandal-kolkata-image-is-from-2020/,"Fact Check: मां दुर्गा की मूर्ति के सामने खड़ीं ममता बनर्जी की तस्वीर तीन साल पुरानी है, वायरल दावा भ्रामक",https://www.facebook.com/permalink.php?story_fbid=pfbid022nLMRLS336CHimktuZ31F6PeRTzxXqBpvMB5jL9kYVgDj2K8KoniKvKqXvLndgTel&id=100089618830343,FB User- Ram Babu Singh Sanvanshi,बंगाल में ममता बनर्जी ने दुर्गा मां के हाथ से हथियार हटवा दिए हैं।,Mamata banerjee,Mamata banerjee,Hindi,
7th Jun 2023,https://www.vishvasnews.com/politics/fact-check-meenakshi-lekhi-is-not-in-the-viral-video-the-old-video-of-the-dancing-woman-is-viral/,"Fact Check : वायरल वीडियो में नहीं हैं मीनाक्षी लेखी, डांस कर रही महिला का पुराना वीडियो वायरल",https://www.facebook.com/royal.16khan/videos/908285666930342/,फेसबुक यूजर बाबू खान,पहलवानों के विरोध के बारे में सवाल पूछने पर कल हड़बड़ी में भागती दिखी बीजेपी सांसद मीनाक्षी लेखी 10 मिनट बाद एक पार्टी में नाचती हुई दिखी।,Political,Meenakshi lekhi,Hindi,
22nd May 2023,https://www.vishvasnews.com/politics/fact-check-misleading-post-viral-in-the-name-of-karnataka-cm-siddaramaiahs-dance/,Fact Check : कर्नाटक के सीएम सिद्धारमैया के डांस के नाम पर भ्रामक पोस्‍ट वायरल,https://www.facebook.com/100083581890165/posts/922200599062407/,फेसबुक यूजर ‘न्यूज एंटरटेनमेंट’,कर्नाटक चुनाव जीतने पर कांग्रेस नेता सिद्धारमैया ने कियां डांस,Karnataka Elections,Siddaramaiah,Hindi,
27th Apr 2023,https://www.vishvasnews.com/politics/fact-check-mp-ex-cm-congress-leader-kamalnath-fake-post-of-rahul-gandhi-viral/,"Fact Check:कमलनाथ ने नहीं कहा कि राहुल गांधी शिव के अवतार हैं, फर्जी दावा फिर से वायरल",https://www.facebook.com/groups/1590584664576195/permalink/3133686933599286/?mibextid=Nif5oz,FB User- Sanjay Mishra,कमलनाथ ने राहुल गांधी को शिव का अवतार बताया है।,Congress,Kamalnath,Hindi,
27th Apr 2023,https://www.vishvasnews.com/politics/fact-check-mp-ex-cm-congress-leader-kamalnath-fake-post-of-rahul-gandhi-viral/,"Fact Check:कमलनाथ ने नहीं कहा कि राहुल गांधी शिव के अवतार हैं, फर्जी दावा फिर से वायरल",https://www.facebook.com/groups/1590584664576195/permalink/3133686933599286/?mibextid=Nif5oz,FB User- Sanjay Mishra,कमलनाथ ने राहुल गांधी को शिव का अवतार बताया है।,Congress,Kamalnath,Hindi,
14th Jun 2023,https://www.vishvasnews.com/politics/fact-check-muslim-community-protested-against-shambhu-raegar-in-2017-video-now-viral-with-fake-claim/,"Fact Check : शंभू रैगर के खिलाफ 2017 में मुस्लिम समाज ने किया था प्रदर्शन, वीडियो अब फर्जी दावे के साथ वायरल",https://www.facebook.com/paran.paran.58726/posts/pfbid02BQt1MbFr5RWyb3a3S9EvAwCu5bBy2Q4sBS5kibrKZc6Ck28G4gh6en5QQfnYJEzRl,फेसबुक यूजर प्रधान राजपूताना किंग,उदयपुर के चेतक सर्कल पर मुस्लिमों की भीड़ ने महाराणा प्रताप की प्रतिमा को उखाड़ कर घोड़े से नीचे गिरा दी,Against Muslim,Muslim,Hindi,
11th May 2023,https://www.vishvasnews.com/politics/fact-check-naresh-agarwal-had-given-an-objectionable-statement-while-in-the-sp-the-false-claim-went-viral/,"Fact Check : नरेश अग्रवाल ने सपा में रहते हुए दिया था आपत्तिजनक बयान, भ्रामक दावा वायरल",https://www.facebook.com/vickey.dabas/videos/247390597802166/,फेसबुक यूजर विक्‍की डबास,भाजपा नेता का हिंदू भगवानों को लेकर आपत्तिजनक बयान,Against BJP,Naresh Sharma,Hindi,
11th May 2023,https://www.vishvasnews.com/politics/fact-check-naresh-agarwal-had-given-an-objectionable-statement-while-in-the-sp-the-false-claim-went-viral/,"Fact Check : नरेश अग्रवाल ने सपा में रहते हुए दिया था आपत्तिजनक बयान, भ्रामक दावा वायरल",https://www.facebook.com/vickey.dabas/videos/247390597802166/,फेसबुक यूजर विक्‍की डबास,भाजपा नेता का हिंदू भगवानों को लेकर आपत्तिजनक बयान,Against BJP,Naresh Sharma,Hindi,
28th Sep 2023,https://www.vishvasnews.com/politics/fact-check-neha-singh-rathore-husband-himanshu-singh-hold-her-from-back-in-sidhi-program/,"Fact Check: वायरल तस्वीर में नेहा सिंह राठौर को उनके पति ने पकड़ा हुआ है, दुष्‍प्रच्रार की मंशा से किया गया गलत दावा",https://www.facebook.com/tiwari.1124/posts/pfbid0qED23UYoY3UkmxLd9P7EzTko7N6jZp5g52UuqyUAAQ61NdDTP7iZiszGXbht7cqEl,FB User- रितेश भार्गव,नेहा सिंह राठौर को कांग्रेस कार्यकर्ता ने पकड़ा।,Folk Singer,Neha Singh Rathore,Hindi,
28th Sep 2023,https://www.vishvasnews.com/politics/fact-check-neha-singh-rathore-husband-himanshu-singh-hold-her-from-back-in-sidhi-program/,"Fact Check: वायरल तस्वीर में नेहा सिंह राठौर को उनके पति ने पकड़ा हुआ है, दुष्‍प्रच्रार की मंशा से किया गया गलत दावा",https://www.facebook.com/tiwari.1124/posts/pfbid0qED23UYoY3UkmxLd9P7EzTko7N6jZp5g52UuqyUAAQ61NdDTP7iZiszGXbht7cqEl,FB User- रितेश भार्गव,नेहा सिंह राठौर को कांग्रेस कार्यकर्ता ने पकड़ा।,Neha Singh Rathore,Neha Singh Rathore,Hindi,
3rd Nov 2023,https://www.vishvasnews.com/politics/fact-check-new-york-times-did-not-write-viral-news-on-pm-modi-fake-post-went-viral/,"Fact Check: न्यूयॉर्क टाइम्स ने पीएम मोदी पर नहीं लिखी वायरल खबर,फर्जी पोस्ट वायरल",https://www.facebook.com/photo?fbid=1051366042955019&set=a.125052808919685,फेसबुक यूजर -Suresh Bhati,न्यूयॉर्क टाइम्स के मुख्य संपादक जोसेफ होप ने पीएम मोदी की तारीफ की है।,PM Modi,NYT,Hindi,
24th Apr 2019,https://www.vishvasnews.com/politics/fact-check-no-image-of-nehru-in-pm-modis-mother-hiraben-house-in-gandhinagar/,"Fact Check: PM मोदी की मां के कमरे में नहीं लगी है नेहरू की तस्वीर, सोशल मीडिया में वायरल हो रहा दावा फर्जी ﻿",NA,FB User-Deepak Bisht,पीएम मोदी की मां हीरा बेन के घर में लगी है नेहरू की तस्वीर,Nehru's picture is in the house of PM Modi's mother Heera Ben.,"Nehru Photo, PM Modi, PM Modi Mother Heera Ben ",Hindi,
15th May 2023,https://www.vishvasnews.com/politics/fact-check-no-pakistani-flag-was-unfurled-in-bhatkal-at-karnataka-after-congresss-victory/,Fact Check: कर्नाटक के भटकल में लहराए गए इस्लामिक झंडे को पाकिस्तानी झंडा बताकर किया जा रहा शेयर,https://www.facebook.com/ravishankar.maurya.756/posts/pfbid02aGnRTFBmWSGc7raYG5hjmyXjEwBUzRYZreuJrWP4JNYeMXcEycpE2Mmsrf6NW98Ql,FB User-Ravishankar Maurya,कांग्रेस की जीत के बाद कर्नाटक में लहराया गया पाकिस्तानी झंडा और लगे पाकिस्तान जिंदाबाद के नारे।,Karnataka Assembly Elect,NA,Hindi,
18th May 2023,https://www.vishvasnews.com/politics/fact-check-no-pakistani-pm-did-not-congratulate-congress-after-its-victory-in-karnataka-viral-tweet-is-fake/,"Fact Check: कर्नाटक में जीत के बाद कांग्रेस को पाकिस्तानी PM ने नहीं दी बधाई, वायरल ट्वीट फेक",https://twitter.com/raju_kukatla/status/1658347563458887683,Twitter User-Raju Kukatla BJP,पाकिस्तानी प्रधानमंत्री ने कर्नाटक में जीत पर कांग्रेस को बधाई दी।,Karnataka Elections,Rahul Gandhi,Hindi,
18th May 2023,https://www.vishvasnews.com/politics/fact-check-no-pakistani-pm-did-not-congratulate-congress-after-its-victory-in-karnataka-viral-tweet-is-fake/,"Fact Check: कर्नाटक में जीत के बाद कांग्रेस को पाकिस्तानी PM ने नहीं दी बधाई, वायरल ट्वीट फेक",https://twitter.com/raju_kukatla/status/1658347563458887683,Twitter User-Raju Kukatla BJP,पाकिस्तानी प्रधानमंत्री ने कर्नाटक में जीत पर कांग्रेस को बधाई दी।,Karnataka Elections,Rahul Gandhi,Hindi,
9th Jun 2023,https://www.vishvasnews.com/politics/fact-check-odisha-jeypore-mla-tara-prasad-video-viral-with-link-to-karnataka/,Fact Check: ओडिशा के विधायक और उनकी पत्‍नी का वीडियो कर्नाटक का बताकर गलत दावे से वायरल,https://staging.vishvasnews.com/punjabi/politics/hi-this-is-test/,FB User- Amruta Raspayle,कर्नाटक में कांग्रेस में शामिल हो रही महिला नेत्री के साथ अभद्रता की गई।,Karnataka Congress,Tara Prasad Bahinipati ,Hindi,
9th Jun 2023,https://www.vishvasnews.com/politics/fact-check-odisha-jeypore-mla-tara-prasad-video-viral-with-link-to-karnataka/,Fact Check: ओडिशा के विधायक और उनकी पत्‍नी का वीडियो कर्नाटक का बताकर गलत दावे से वायरल,https://staging.vishvasnews.com/punjabi/politics/hi-this-is-test/,FB User- Amruta Raspayle,कर्नाटक में कांग्रेस में शामिल हो रही महिला नेत्री के साथ अभद्रता की गई।,Mayawati,Mayawati,Hindi,
26th Jun 2023,https://www.vishvasnews.com/politics/fact-check-old-photo-of-bhagwant-mann-playing-holi-with-friends-viral-again-with-false-claim/,Fact Check: भगवंत मान की दोस्तों के साथ होली खेलते हुए पुरानी तस्वीर एक बार फिर से गलत दावे के साथ हुई वायरल,https://twitter.com/opgupta_om/status/1672961757030268928,ट्विटर यूजर - Om prakash gupta,बाइक चोरी के अपराध में पंजाब पुलिस ने पंजाब के मुख्यमंत्री भगवंत मान को पकड़ा था।,NA,CM Bhagwant Mann,Hindi,
25th Jul 2023,https://www.vishvasnews.com/politics/fact-check-old-photo-of-pm-modi-touching-the-feet-of-colonel-nizamuddin-is-being-shared-with-a-misleading-claim/,Fact Check : कर्नल निजामुद्दीन के पैर छूने की पीएम मोदी की पुरानी तस्‍वीर को भ्रामक दावे के साथ किया जा रहा वायरल,https://www.facebook.com/photo/?fbid=725534556250909&set=a.504323308372036,फेसबुक यूजर संतोष मिश्रा,निजामुद्दीनजी नेताजी सुभाषचंद्र बोस के ड्राइवर को पीएम मोदी ने हाल ही में सम्मान दिया।,subhash chandra bose driver,PM Modi,Hindi,
23rd Aug 2023,https://www.vishvasnews.com/politics/fact-check-old-photograph-of-jawaharlal-nehru-resurfaced-on-social-media-with-objectionable-false-claim/,Fact Check: जवाहरलाल नेहरू की पुरानी तस्वीर सोशल मीडिया पर आपत्तिजनक गलत दावे के साथ फिर हुई वायरल,https://www.facebook.com/photo?fbid=1186201639437652&set=a.1043548060369678,Instagram page 'raush_an3659',आजादी की भयंकर लड़ाई में बाएं गाल पर गोली खाते चचा नेहरू,आजादी की भयंकर लड़ाई में बाएं गाल पर गोली खाते चचा नेहरू,Nehru,Hindi,
1st Aug 2023,https://www.vishvasnews.com/politics/fact-check-old-photos-of-2012-anti-rape-protests-in-delhi-shared-as-manipur/,Fact Check: दिल्ली में गैंग-रेप के विरोध में 2012-13 में हुए प्रदर्शनों की पुरानी तस्वीरें मणिपुर की बताकर वायरल,https://www.facebook.com/shaheenbagh01/posts/pfbid0F6QxcqxkMw6rejTVdEXJVDVox1WyYEaXKFdguagj9JEf9g6zfctA75ymeddYYTCtl,फेसबुक यूजर shaheen._bagh,मणिपुर में कुकी महिलाओं के साथ क्रूर बलात्कार के विरोध में सैकड़ों भारतीय सड़कों पर उतर आए,मणिपुर में कुकी महिलाओं के साथ क्रूर बलात्कार के विरोध में सैकड़ों भारतीय सड़कों पर उतर आए,फेसबुक यूजर shaheen._baghr,Hindi,
20th Jun 2023,https://www.vishvasnews.com/politics/fact-check-old-picture-of-bihar-minister-tej-pratap-yadav-is-being-shared-again-with-a-false-claim/,Fact Check: तेज प्रताप यादव की पुरानी तस्वीर फिर से गलत दावे के साथ की जा रही है वायरल,https://www.facebook.com/photo/?fbid=6472761946113331&set=a.166100356779553,Rajdeo Keshri,तेज प्रताप को तक्षशिला विश्वविद्यालय ने डॉक्टरेट की डिग्री दी है।,NA,Tej pratap Yadav,Hindi,
22nd Nov 2023,https://www.vishvasnews.com/politics/fact-check-old-picture-of-former-prime-minister-indira-gandhi-is-being-viral-with-false-claim/,Fact Check: पूर्व प्रधानमंत्री इंदिरा गांधी की पुरानी तस्वीर को गलत दावे के साथ किया जा रहा है वायरल,https://www.facebook.com/groups/920119569056811/posts/1013940696341364,फेसबुक यूजर - P K Pallav G,तस्वीर में इंदिरा गांधी,Congress,Indira Gandhi,Hindi,
24th Nov 2023,https://www.vishvasnews.com/politics/fact-check-old-video-of-chicken-and-liquor-distribution-in-telangana-falsely-linked-to-cg-elections-2023/,Fact Check : तेलंगाना में मुर्गा और शराब बांटने के पुराने वीडियो को छत्तीसगढ़ का बताकर किया जा रहा शेयर,https://www.facebook.com/watch/?v=684479826774488,एक्स यूजर - Krishna,चुनाव के दौरान लोगों को मुर्गा और शराब बांटी गई।,Chhattisgarh Election,BJP,Hindi,
