Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language,Image
7th Jul 2023,https://www.vishvasnews.com/english/entertainment/fact-check-edited-video-of-tv-actor-uorfi-javed-visiting-bageshwar-dham-going-viral-with-false-claim/,Fact-Check: Edited Video Of TV Actor Uorfi Javed Visiting Bageshwar Dham Going Viral With False Claim,https://www.facebook.com/100009121442228/videos/1219325635422860,Facebook User Govind Gupta,Uorfi Javed visited Bageshwar Dham,Bageshwar Dham,Urfi Javed,English ,
21st Aug 2023,https://www.vishvasnews.com/english/entertainment/fact-check-pakistan-zindabad-slogans-were-not-raised-during-gadar-2-show-in-bareilly-cinema-hall-viral-claim-fake/,Fact Check: ‘Pakistan Zindabad’ Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake,https://twitter.com/Starboy2079/status/1691020685919842306,Facebook user 'Hindu Jayant Rajak',Muslims raised slogans of Pakistan Zindabad during the Gadar 2 show,Pakistan Zindabad Slogans,NA,English,
21st Aug 2023,https://www.vishvasnews.com/english/entertainment/fact-check-pakistan-zindabad-slogans-were-not-raised-during-gadar-2-show-in-bareilly-cinema-hall-viral-claim-fake/,Fact Check: ‘Pakistan Zindabad’ Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake,https://twitter.com/Starboy2079/status/1691020685919842306,Facebook user 'Hindu Jayant Rajak',Muslims raised slogans of Pakistan Zindabad during the Gadar 2 show,Pakistan Zindabad Slogans,Sunny Deol,English ,
21st Aug 2023,https://www.vishvasnews.com/english/entertainment/fact-check-pakistan-zindabad-slogans-were-not-raised-during-gadar-2-show-in-bareilly-cinema-hall-viral-claim-fake/,Fact Check: ‘Pakistan Zindabad’ Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake,https://twitter.com/Starboy2079/status/1691020685919842306,Facebook user 'Hindu Jayant Rajak',Muslims raised slogans of Pakistan Zindabad during the Gadar 2 show,Pakistan Zindabad Slogans,NA,English ,
18th Aug 2023,https://www.vishvasnews.com/english/health/fact-check-claim-of-excessive-usage-of-earbuds-earphones-could-cause-facial-paralysis-is-false/,"Fact Check: Claim Of Excessive Usage Of Earbuds, Earphones Could Cause Facial Paralysis Is False",https://www.facebook.com/reel/1028250455000277,Facebook user 'Motivation of Success life,"Excessive use of earphones or earbuds can lead to deafness, ear infection and pain and stress, but the claim that it causes facial paralysis is false.",Earphone Effects,NA,English,
18th Aug 2023,https://www.vishvasnews.com/english/health/fact-check-claim-of-excessive-usage-of-earbuds-earphones-could-cause-facial-paralysis-is-false/,"Fact Check: Claim Of Excessive Usage Of Earbuds, Earphones Could Cause Facial Paralysis Is False",https://www.facebook.com/reel/1028250455000277,Facebook user 'Motivation of Success life,"Excessive use of earphones or earbuds can lead to deafness, ear infection and pain and stress, but the claim that it causes facial paralysis is false.",Earphones Uses,Dr. Varun Duggal,English ,
18th Aug 2023,https://www.vishvasnews.com/english/health/fact-check-claim-of-excessive-usage-of-earbuds-earphones-could-cause-facial-paralysis-is-false/,"Fact Check: Claim Of Excessive Usage Of Earbuds, Earphones Could Cause Facial Paralysis Is False",https://www.facebook.com/reel/1028250455000277,Facebook user 'Motivation of Success life,"Excessive use of earphones or earbuds can lead to deafness, ear infection and pain and stress, but the claim that it causes facial paralysis is false.",Earphone Effects,NA,English ,
23rd Sep 2019,https://www.vishvasnews.com/english/health/fact-check-no-the-new-born-baby-is-not-105-years-old-she-is-suffering-from-a-skin-disease/,"Fact Check: No, the new-born baby is not 105 years old, she is suffering from a skin disease ",NA,FB User-Hakeem Abdul Ghani Ghani,the new-born baby is 105 years old,Age of new born baby,New born,English ,
29th Jul 2022,https://www.vishvasnews.com/english/health/fact-check-this-breathing-test-doesnt-measure-lung-health-or-oxygen-levels-viral-video-is-misleading/,"Fact Check: This breathing test doesn’t measure lung health or oxygen levels, viral video is misleading",https://www.facebook.com/permalink.php?story_fbid=pfbid0RocWBZ682iPwWxomT2idjGa2swX4A6uS5vcTtaCWHUToZyYWvhJYBXAMSMdbKKibl&id=100082619599232,Fb user: Bright Jnr,"Check Your Lungs and Oxygen Level. If you can hold your breath from point A to B, Then You are in SAFE ZONE",breathing test,No,English,
29th Jul 2022,https://www.vishvasnews.com/english/health/fact-check-this-breathing-test-doesnt-measure-lung-health-or-oxygen-levels-viral-video-is-misleading/,"Fact Check: This breathing test doesn’t measure lung health or oxygen levels, viral video is misleading",https://www.facebook.com/permalink.php?story_fbid=pfbid0RocWBZ682iPwWxomT2idjGa2swX4A6uS5vcTtaCWHUToZyYWvhJYBXAMSMdbKKibl&id=100082619599232,Fb user: Bright Jnr,2022-07-13,"Check Your Lungs and Oxygen Level. If you can hold your breath from point A to B, Then You are in SAFE ZONE",breathing test,English ,
